line,station_id,minutes
S1,85950,0
S1,81953,4
S1,81952,4
S1,81951,4
S1,81950,5
S1,80956,6
S1,80955,2
S1,80954,2
S1,8002562,2
S1,80953,4
S1,80952,3
S1,80951,2
S1,80950,3
S1,11950,4
S1,10950,4
S1,10952,3
S1,10953,2
S1,60950,2
S1,60951,2
S1,60952,2
S1,70950,2
S1,70951,2
S1,70952,2
S1,90950,4
S2,80953,0
S2,84951,3
S2,10952,3
S2,10954,2
S2,61950,2
S2,21950,2
S2,21951,3
S2,21953,3
S2,21952,3
S2,25950,3
S2,25951,3
S2,25952,2
S2,25953,3
S3,99951,0
S3,99950,2
S3,98950,3
S3,83950,3
S3,82950,4
S3,84960,2
S3,84953,2
S3,84952,3
S3,84951,2
S3,80953,6
S3,80952,2
S3,80951,2
S3,80950,2
S3,11952,3
S3,11950,3
S3,10956,3
S3,10951,1
S3,11944,2
S3,54950,2
S3,54951,2
S3,49950,4
S5,82950,0
S5,84960,2
S5,84953,1
S5,84952,3
S5,84951,2
S5,84954,3
S5,11951,2
S5,10950,2
S5,10952,3
S5,10951,1
S5,11944,2
S5,54950,3
S5,54951,3
S5,49950,2
S5,40950,1
U1,36961,0
U1,36901,2
U1,36902,2
U1,92900,2
U1,92901,3
U1,92902,3
U1,92903,2
U1,71900,2
U1,71901,3
U1,71902,2
U1,90951,3
U1,90900,2
U1,90901,2
U1,90902,2
U1,90903,2
U1,90904,3
U1,90905,3
U1,11900,3
U1,11955,3
U1,11903,2
U1,10907,3
U1,10906,3
U1,10903,2
U1,10904,2
U1,10901,3
U1,60904,2
U1,60951,2
U1,60902,3
U1,60901,2
U1,60900,2
U1,63902,3
U1,63901,3
U1,63900,3
U1,64900,2
U1,65900,2
U1,71905,3
U1,71904,2
U1,72902,2
U1,72901,2
U1,72900,2
U1,71907,2
U1,34900,3
U1,35901,3
U1,35904,2
U2,91900,0
U2,91901,2
U2,91902,2
U2,91903,2
U2,91904,3
U2,83900,2
U2,83901,2
U2,84900,2
U2,84901,2
U2,84902,3
U2,84904,2
U2,11909,3
U2,11954,2
U2,10905,2
U2,10955,2
U2,10908,3
U2,10909,2
U2,61901,2
U2,61902,3
U2,61903,2
U2,61904,3
U2,22900,3
U2,22901,3
U2,22902,3
U3,9709014,0
U3,70906,2  
U3,70905,2  
U3,90906,2  
U3,90904,2  
U3,90907,2  
U3,90908,2  
U3,84903,2  
U3,84950,2  
U3,11911,2  
U3,80900,2  
U3,80958,2  
U3,11907,2  
U3,11906,1  
U3,11905,1
U3,11904,1  
U3,10910,1  
U3,10955,2  
U3,10902,1 
U3,10900,1  
U3,70904,1  
U3,70902,1  
U3,70903,1  
U3,9709014,2
U4,11943,0
U4,11942,2
U4,11941,1
U4,11953,1
U4,10905,1
U4,10955,3
U4,10908,2
U4,10909,1
U4,61901,1
U4,61902,2
U4,61903,1
U4,61904,2

